pelicula_id,actor,personaje
21,Brian Tyree Henry,Leo Matienne (voice)
21,Natasia Demetriou,Narrator / Fortune Teller (voice)
21,Sian Clifford,Gloria Matienne (voice)
21,Benedict Wong,Magician (voice)
21,Miranda Richardson,Madam LaVaughn (voice)
21,Kirby Howell-Baptiste,The Countess (voice)
21,Aasif Mandvi,The King (voice)
22,Gerard Butler,Brodie Torrance
22,Mike Colter,Louis Gaspare
22,Yoson An,Dele
22,Tony Goldwyn,Scarsdale
22,Daniella Pineda,Bonnie
22,Paul Ben-Victor,Hampton
22,Remi Adeleke,Shellback
22,Joey Slotnick,Sinclair
22,Evan Dane Taylor,Junmar
23,Jim Caviezel,Jesus
23,Maia Morgenstern,Maria
23,Christo Jivkov,Juan
23,Francesco De Vito,Pedro
23,Monica Bellucci,Magdalena
23,Mattia Sbragia,Caifás
23,Toni Bertorelli,Anás
23,Luca Lionello,Judas
23,Hristo Shopov,Poncio Pilato
24,David Giuntoli,Batman / Bruce Wayne (voice)
24,Patrick Fabian,Harvey Dent / Two-Face (voice)
24,John DiMaggio,James Gordon (voice)
24,Karan Brar,Sanjay 'Jay' Tawde (voice)
24,Navid Negahban,Ra's al Ghul (voice)
24,Darin De Paul,Thomas Wayne (voice)
24,Emily O'Brien,Talia al Ghul / Martha Wayne (voice)
24,Christopher Gorham,Oliver Queen / Green Arrow (voice)
24,David Dastmalchian,Grendon (voice)
25,Zachary Levi,Shazam
25,Asher Angel,Billy Batson
25,Jack Dylan Grazer,Freddy Freeman
25,Grace Caroline Currey,Mary Bromfield / Super Hero Mary
25,Helen Mirren,Hespera
25,Lucy Liu,Kalypso
25,Rachel Zegler,Anthea
25,Adam Brody,Super Hero Freddy
25,Meagan Good,Super Hero Darla
26,Jena Malone,Grace
26,Danny Huston,Father Romero
26,Thoren Ferguson,DCI Harris
26,Janet Suzman,Mother Superior
26,Ian Pirie,Vincent
26,Steffan Cennydd,Michael
26,Will Keen,
26,Alexandra Lewis,Sister Beth
26,Kit Rakusen,Young Michael
27,Maxi Witrak,Commander Nicole Tress
27,Ego Mikitas,Sergei
27,Michael Marcel,Michael Kelly
27,Tania Fox,Akula
27,Konstantin Podprugin,Henri
27,Lindsey Marie Wilson,Elli Waters
27,Lydia Hunter,Josie
27,Reginald Stalling III,Tom
27,Terrance Livingston Jr.,Liam
28,Dwayne Johnson,Black Adam / Teth Adam
28,Aldis Hodge,Hawkman / Carter Hall
28,Noah Centineo,Atom Smasher / Al Rothstein
28,Sarah Shahi,Adrianna Tomaz
28,Quintessa Swindell,Cyclone / Maxine Hunkel
28,Marwan Kenzari,Ishmael / Sabbac / King Ahk-Ton
28,Mo Amer,Karim
28,Bodhi Sabongui,Amon Tomaz
28,Pierce Brosnan,Dr. Fate / Kent Nelson
29,Allison Williams,Gemma
29,Violet McGraw,Cady
29,Jenna Davis,M3GAN (voice)
29,Amie Donald,M3GAN
29,Jen Van Epps,Tess
29,Brian Jordan Alvarez,Cole
29,Ronny Chieng,David Lin
29,Stephane Garneau-Monten,Kurt
29,Amy Usherwood,Lydia
30,Paul Rudd,Scott Lang / Ant-Man
30,Evangeline Lilly,Hope van Dyne / The Wasp
30,Jonathan Majors,Kang the Conqueror
30,Kathryn Newton,Cassie Lang
30,Michelle Pfeiffer,Janet van Dyne
30,Michael Douglas,Dr. Hank Pym
30,Corey Stoll,M.O.D.O.K.
30,Bill Murray,Lord Krylar
30,William Jackson Harper,Quaz
31,Rallén Montenegro,Sayen
31,Arón Piper,Antonio Torres
31,Enrique Arce,Máximo Torres
31,Roberto García Ruiz,Bykov
31,Loreto Aravena,Miranda
31,Alejandro Trejo,Lira
31,Eduardo Paxeco,Rubén
31,Camilo Arancibia,José
31,Teresa Ramos,Ilwen
32,Kevin Hart,Kevin Hart
32,John Travolta,Ron Wilcox
32,Nathalie Emmanuel,Jordan King
32,Jean Reno,Claude Van De Velde
32,Josh Hartnett,Josh
32,Kenneth Trujillo,Diego
32,Joshua Lamboy,Ortiz
32,Brandon Quinn,Danny Morrison
32,Milana Vayntrub,Leah
33,María Romanillos,Laura
33,Ruth Díaz,Carmen
33,Urko Olazábal,Tomás
33,Pablo Revuelta,Jesús
33,José Sacristán,Padre Olmedo
33,Daniela Bini,Niña Demonio
33,Cristina Castaño,Asunción
33,Silma López,Lola
33,Daniel Arias,Enrique
34,Portia Chellelynn,Alice
34,Julie Anne Prescott,Tommi
34,Andrea Collins,Keziah Mason
34,Erin Trimble,Kelly
34,Solon Tsangaras,Brown Jenkin
34,John Johnson,Professor Sherfick
34,Shonda Laverty,
34,Bill Levin,Vespuli
34,Joe Padgett,Joe
35,Keanu Reeves,John Wick
35,Common,Cassian
35,Ian McShane,Winston
35,Laurence Fishburne,Bowery King
35,Riccardo Scamarcio,Santino D'Antonio
35,Ruby Rose,Ares
35,Lance Reddick,Charon
35,Peter Stormare,Abram Tarasov
35,Bridget Moynahan,Helen Wick
36,Gideon Adlon,Parker
36,Bethlehem Million,Miri
36,Dylan Sprayberry,DJ
36,Marc Menchaca,Jason
36,Jane Adams,Pamela
36,Joel Courtney,Tyler
36,Chris Reid,Jeb
36,Duane Stephens,Mr. Lyons
36,Logan Murphy,Benji
37,Tom Berenger,Nick Falconi
37,Cam Gigandet,Anthony
37,Jeff Fahey,LaRusso
37,Jonathan Avigdori,Sadiq
37,Sara Seyed,Rashida
37,Rafael Cabrera,Zico
37,Rodrigo Abed,Capitan Escalante
37,Tonantzin Esparza,Carmen
38,Jennifer Lopez,Darcy
38,Josh Duhamel,Tom
38,Jennifer Coolidge,Carol
38,Sônia Braga,Renata
38,Lenny Kravitz,Sean
38,D'Arcy Carden,Harriet
38,Cheech Marin,Robert
38,Selena Tan,Marge
38,Desmin Borges,Ricky
39,Keanu Reeves,John Wick
39,Halle Berry,Sofia
39,Ian McShane,Winston
39,Laurence Fishburne,Bowery King
39,Mark Dacascos,Zero
39,Asia Kate Dillon,Adjudicator
39,Lance Reddick,Charon
39,Anjelica Huston,Director
39,Tobias Segal,Earl
40,Meg Donnelly,Supergirl / Kara (voice)
40,Harry Shum Jr.,Brainiac 5 (voice)
40,Darren Criss,Superman (voice)
40,Jensen Ackles,Batman (voice)
40,Matt Bomer,The Flash (voice)
40,Cynthia Hamidi,Dawnstar (voice)
40,Yuri Lowenthal,Mon El (voice)
40,Gideon Adlon,Phantom Girl (voice)
40,Ely Henry,Bouncing Boy (voice)
41,Grace Caroline Currey,Becky
41,Virginia Gardner,Hunter
41,Jeffrey Dean Morgan,James
41,Mason Gooding,Dan Connor
41,Jasper Cole,Dog Walker Dan
41,Darrell Dennis,Randy
41,Julia Pace Mitchell,Waitress
42,Treach,Jason Dyson
42,Quinton Jackson,Kane
42,Khalil Rountree Jr.,Damon Stone
42,Anderson Silva,Axel
42,Richard Grieco,Detective Kayes
42,A.J. McKee,Tre Jordan
42,Gigi Gustin,Sasha
42,Meredith Thomas,Teresa
42,Ashley Doris,Valery Dyson
43,Frank Grillo,Doc Alexander
43,Eric Dane,Governor Richard Jeffs
43,Annabeth Gish,Billie Riggs
43,Mercedes Mason,Julie Reed
43,Peter Greene,Karl Roach
43,Beau Knapp,Raphael 'Cuco' Prado
43,Thomas Dekker,Clarke Moore
43,Maurice Compte,Lalo Miguel Prado
43,Sufe Bradshaw,Carla
44,Brendan Fraser,Charlie
44,Sadie Sink,Ellie
44,Hong Chau,Liz
44,Ty Simpkins,Thomas
44,Samantha Morton,Mary
44,Sathya Sridharan,Dan The Pizza Man
44,Jacey Sink,Young Ellie
44,Wilhelm Schalaudek,Liam (uncredited)
45,Jacqueline Byers,Sister Ann
45,Colin Salmon,Father Quinn
45,Christian Navarro,Father Dante
45,Lisa Palfrey,Sister Euphemia
45,Nicholas Ralph,Father Raymond
45,Ben Cross,Cardinal Matthews
45,Virginia Madsen,Dr. Peters
45,Tom Forbes,Matt
45,Velizar Binev,Father Bernhard
46,Josh Duhamel,Gilbert Galvan Jr/Robert Whiteman
46,Elisha Cuthbert,Andrea
46,Mel Gibson,Tommy
46,Nestor Carbonell,Snydes
46,Lorenzo Yearby,Ben
46,Swen Temmel,Hoffman
46,Keith Arthur Bolden,Diamond Dave
46,Dylan Flashner,Bishop
46,Olivia d'Abo,Linda
47,Alisha Weir,Matilda Wormwood
47,Emma Thompson,Agatha Trunchbull
47,Lashana Lynch,Miss Honey
47,Stephen Graham,Mr. Wormwood
47,Andrea Riseborough,Mrs. Wormwood
47,Sindhu Vee,Mrs. Phelps
47,Charlie Hodson-Prior,Bruce Bogtrotter
47,Meesha Garbett,Hortensia
47,Rei Yamauchi Fulker,Lavender
48,Nancy Cartwright,Bart Simpson (voice)
48,Yeardley Smith,Lisa Simpson (voice)
48,Dan Castellaneta,Homer Simpson (voice)
48,Julie Kavner,Marge Simpson (voice)
48,Andrea Bocelli,Self (voice)
48,Matteo Bocelli,Self (voice)
48,Virginia Bocelli,Self (voice)
49,Natsuki Hanae,Tanjiro Kamado (voice)
